AgroClimaticZone,District,Station,Item,Year,avg_temp,average_rain_fall_mm_per_year,avg_humidity_percent,wind_speed_m_s,solar_radiation_mj_m2,soil_moisture_percent,soil_ph,organic_carbon_percent,fertilizer_n_kg_per_ha,fertilizer_p_kg_per_ha,fertilizer_k_kg_per_ha,pesticides_tonnes,rainfall_variability,drought_flag,flood_flag,hg_ha_yield
Coastal Saline Zone,North 24 Parganas,North 24 Parganas Sadar,Sugarcane,2002,26.26,1703.0,79.6,3.4,17.49,28.28,5.89,0.751,114.8,66.9,31.3,0.601,13.42,0,0,58015.8
Coastal Saline Zone,North 24 Parganas,North 24 Parganas Sadar,Sugarcane,2003,28.36,1767.4,80.6,3.15,15.76,31.98,7.04,0.504,80.0,56.8,58.3,1.122,16.86,0,0,61398.1
Coastal Saline Zone,North 24 Parganas,North 24 Parganas Sadar,Sugarcane,2004,27.76,1921.8,91.0,2.62,18.21,38.42,5.58,0.843,158.3,33.9,52.6,0.655,24.06,0,0,70521.4
Coastal Saline Zone,North 24 Parganas,North 24 Parganas Sadar,Sugarcane,2005,27.25,1722.2,87.0,2.99,22.86,30.16,6.03,0.723,64.0,76.6,53.9,0.491,19.57,0,0,61412.1
Coastal Saline Zone,North 24 Parganas,North 24 Parganas Sadar,Sugarcane,2006,27.63,1836.0,75.8,1.42,16.62,37.03,6.44,1.077,90.7,12.4,36.2,0.821,14.5,0,0,68029.0
Coastal Saline Zone,North 24 Parganas,North 24 Parganas Sadar,Sugarcane,2007,28.72,1903.4,85.7,2.86,15.04,36.63,6.31,0.554,144.2,56.1,25.6,1.142,22.75,0,0,71661.9
Coastal Saline Zone,North 24 Parganas,North 24 Parganas Sadar,Sugarcane,2008,27.9,2274.6,97.0,2.69,18.39,42.87,6.37,0.572,152.7,66.9,26.2,1.109,6.45,0,0,61426.2
Coastal Saline Zone,North 24 Parganas,North 24 Parganas Sadar,Sugarcane,2009,28.21,2031.7,73.5,2.7,14.14,40.73,6.01,0.468,135.3,17.1,34.1,1.154,13.93,0,0,57432.7
Coastal Saline Zone,North 24 Parganas,North 24 Parganas Sadar,Sugarcane,2010,25.81,1959.7,94.2,3.0,17.11,37.95,6.49,0.655,155.0,58.5,39.9,0.906,18.92,0,0,77475.2
Coastal Saline Zone,North 24 Parganas,North 24 Parganas Sadar,Sugarcane,2011,26.62,1799.8,80.6,2.4,20.45,34.78,6.58,0.863,101.5,71.5,44.7,0.588,28.62,0,0,64632.6
Coastal Saline Zone,North 24 Parganas,North 24 Parganas Sadar,Sugarcane,2012,28.9,1931.2,86.4,2.07,18.16,37.01,7.22,0.73,122.0,28.8,37.5,0.824,14.4,0,0,64734.5
Coastal Saline Zone,North 24 Parganas,North 24 Parganas Sadar,Sugarcane,2013,26.33,1848.0,75.5,4.31,19.75,31.58,6.69,0.52,128.3,55.0,33.4,0.717,20.03,0,0,69983.4
Coastal Saline Zone,North 24 Parganas,North 24 Parganas Sadar,Sugarcane,2014,28.77,1599.5,72.9,2.0,13.09,40.48,6.86,0.673,94.6,54.9,41.4,1.42,21.26,0,0,74934.5
Coastal Saline Zone,North 24 Parganas,North 24 Parganas Sadar,Sugarcane,2015,26.72,1873.7,79.3,2.06,16.39,41.47,6.05,0.971,133.1,67.4,23.6,0.859,13.69,0,0,76388.5
Coastal Saline Zone,North 24 Parganas,North 24 Parganas Sadar,Sugarcane,2016,27.05,1743.3,81.9,2.3,18.87,35.32,6.93,0.398,111.1,29.9,48.5,1.116,18.66,0,0,64770.6
Coastal Saline Zone,North 24 Parganas,North 24 Parganas Sadar,Sugarcane,2017,26.89,1743.1,71.4,1.73,22.75,37.26,5.6,0.625,153.9,83.7,36.4,0.619,28.8,0,0,68833.2
Coastal Saline Zone,North 24 Parganas,North 24 Parganas Sadar,Sugarcane,2018,28.63,1823.7,80.3,2.69,15.03,45.0,6.11,0.364,123.6,56.1,39.7,0.427,13.99,0,0,67119.8
Coastal Saline Zone,North 24 Parganas,North 24 Parganas Sadar,Sugarcane,2019,28.36,1903.2,83.3,2.74,15.45,34.82,7.45,0.762,107.5,58.6,13.6,0.694,21.27,0,0,63008.4
Coastal Saline Zone,North 24 Parganas,North 24 Parganas Sadar,Sugarcane,2020,29.47,1972.8,83.4,3.76,24.31,35.75,6.27,0.681,133.5,68.7,50.4,0.501,26.94,0,0,59797.4
Coastal Saline Zone,North 24 Parganas,North 24 Parganas Sadar,Sugarcane,2021,29.27,1692.5,86.8,2.74,17.21,29.88,6.37,0.54,109.7,37.2,35.3,0.914,12.85,0,0,59528.3
Coastal Saline Zone,North 24 Parganas,North 24 Parganas Sadar,Sugarcane,2022,27.91,1426.4,63.9,2.35,11.68,33.98,6.79,1.04,66.0,75.6,48.6,1.198,24.3,0,0,75297.8
Coastal Saline Zone,North 24 Parganas,North 24 Parganas Sadar,Sugarcane,2023,28.94,1516.7,89.7,3.16,19.8,29.61,6.58,0.649,77.6,65.9,48.8,0.423,13.62,0,0,61406.7
Coastal Saline Zone,North 24 Parganas,North 24 Parganas Sadar,Sugarcane,2024,29.93,2131.3,90.2,1.93,15.57,35.91,6.14,0.429,70.3,67.2,73.5,1.23,12.63,0,0,57560.1
Coastal Saline Zone,North 24 Parganas,North 24 Parganas Sadar,Mustard,2000,27.06,2230.9,85.8,2.36,13.31,43.61,6.89,0.576,92.5,67.9,44.8,0.644,23.06,0,1,359.9
Coastal Saline Zone,North 24 Parganas,North 24 Parganas Sadar,Mustard,2001,27.22,1895.6,87.9,2.79,15.78,40.53,6.26,0.323,43.2,85.0,37.7,0.797,20.6,0,1,337.2
Coastal Saline Zone,North 24 Parganas,North 24 Parganas Sadar,Mustard,2002,25.43,2255.0,97.0,2.28,20.6,41.8,5.82,0.416,110.3,62.9,60.9,0.986,27.55,0,1,471.5
Coastal Saline Zone,North 24 Parganas,North 24 Parganas Sadar,Mustard,2003,28.21,1838.1,82.5,3.35,18.17,33.73,6.69,0.867,94.5,66.7,58.7,0.59,12.73,0,1,296.5
Coastal Saline Zone,North 24 Parganas,North 24 Parganas Sadar,Mustard,2004,27.79,2086.6,76.5,2.97,21.16,39.78,6.29,0.686,82.4,61.1,38.3,1.291,9.92,0,1,352.2
Coastal Saline Zone,North 24 Parganas,North 24 Parganas Sadar,Mustard,2005,26.28,2150.4,91.2,3.18,15.58,43.45,5.44,0.794,70.1,53.2,53.2,0.896,19.99,0,1,434.8
Coastal Saline Zone,North 24 Parganas,North 24 Parganas Sadar,Mustard,2006,27.18,2139.6,93.7,2.66,18.21,38.83,6.81,0.616,57.2,32.7,38.1,1.047,22.34,0,1,321.6
Coastal Saline Zone,North 24 Parganas,North 24 Parganas Sadar,Mustard,2007,28.35,1801.6,64.8,2.34,16.67,36.65,6.13,0.403,129.4,70.5,46.4,1.26,24.1,0,1,297.5
Coastal Saline Zone,North 24 Parganas,North 24 Parganas Sadar,Mustard,2008,26.44,1554.8,74.0,3.64,15.03,36.68,6.43,0.812,93.3,61.8,27.5,0.605,13.89,0,1,332.2
Coastal Saline Zone,North 24 Parganas,North 24 Parganas Sadar,Mustard,2009,27.51,1586.7,76.6,2.53,18.81,38.63,5.72,0.56,149.5,63.3,16.3,1.134,14.27,0,1,359.9
Coastal Saline Zone,North 24 Parganas,North 24 Parganas Sadar,Mustard,2010,26.81,1593.4,87.8,2.24,15.02,32.48,5.85,0.686,113.5,78.7,33.6,0.871,8.13,0,1,393.8
Coastal Saline Zone,North 24 Parganas,North 24 Parganas Sadar,Mustard,2011,26.68,1952.5,86.6,2.5,21.54,43.07,5.93,0.686,129.7,68.8,64.4,0.526,16.92,0,1,383.8
Coastal Saline Zone,North 24 Parganas,North 24 Parganas Sadar,Mustard,2012,27.22,1909.4,87.9,2.94,21.69,39.73,6.51,0.677,139.5,62.0,22.5,0.691,16.24,0,1,375.6
Coastal Saline Zone,North 24 Parganas,North 24 Parganas Sadar,Mustard,2013,26.37,2136.7,87.5,1.53,15.47,43.0,6.21,0.866,98.0,43.7,36.4,1.094,23.46,0,1,470.2
Coastal Saline Zone,North 24 Parganas,North 24 Parganas Sadar,Mustard,2014,27.09,1543.1,75.3,2.56,13.16,35.12,6.42,0.486,124.9,55.4,51.0,1.13,19.15,0,1,372.5
Coastal Saline Zone,North 24 Parganas,North 24 Parganas Sadar,Mustard,2015,28.3,1735.1,85.4,2.68,13.3,38.67,7.15,1.008,68.0,54.3,67.3,0.769,17.58,0,1,296.7
Coastal Saline Zone,North 24 Parganas,North 24 Parganas Sadar,Mustard,2016,27.03,2371.6,86.6,3.32,19.17,41.2,6.52,0.597,132.8,78.7,66.6,0.571,19.64,0,1,386.9
Coastal Saline Zone,North 24 Parganas,North 24 Parganas Sadar,Mustard,2017,27.23,1842.5,85.4,3.39,20.68,28.23,6.39,0.951,88.8,59.8,58.3,0.733,21.18,0,1,345.9
Coastal Saline Zone,North 24 Parganas,North 24 Parganas Sadar,Mustard,2018,26.08,2153.1,85.4,3.05,17.55,39.75,5.77,0.32,89.7,17.2,33.0,0.815,17.6,0,1,376.7
Coastal Saline Zone,North 24 Parganas,North 24 Parganas Sadar,Mustard,2019,26.23,2097.2,91.0,2.7,23.62,38.89,6.01,0.635,118.6,55.8,55.2,0.561,20.3,0,1,445.3
Coastal Saline Zone,North 24 Parganas,North 24 Parganas Sadar,Mustard,2020,28.94,2237.5,95.0,2.62,18.22,43.9,6.24,0.689,107.6,23.8,60.1,0.992,26.95,0,1,263.1
Coastal Saline Zone,North 24 Parganas,North 24 Parganas Sadar,Mustard,2021,27.84,2102.3,85.3,1.05,16.73,45.0,6.34,1.005,188.3,25.8,65.1,1.197,17.18,0,1,367.7
Coastal Saline Zone,North 24 Parganas,North 24 Parganas Sadar,Mustard,2022,28.39,2245.7,92.9,2.19,18.43,34.65,6.6,0.736,126.1,50.8,40.2,0.566,21.92,0,1,260.0
Coastal Saline Zone,North 24 Parganas,North 24 Parganas Sadar,Mustard,2023,25.75,2093.1,92.6,0.3,15.49,40.74,5.29,0.6,115.0,22.0,25.8,0.394,20.18,0,1,401.5
Coastal Saline Zone,North 24 Parganas,North 24 Parganas Sadar,Mustard,2024,27.46,2243.4,88.6,2.04,19.24,40.26,5.61,0.687,130.7,58.0,51.1,0.781,21.66,0,1,330.9
Coastal Saline Zone,North 24 Parganas,North 24 Parganas North,Rice,2000,25.38,1635.6,79.0,1.86,16.87,34.41,6.67,0.519,141.6,26.9,48.7,0.829,30.98,0,0,3809.0
Coastal Saline Zone,North 24 Parganas,North 24 Parganas North,Rice,2001,29.35,1923.9,97.0,2.73,13.38,38.49,7.13,0.482,109.3,78.1,43.8,0.557,24.65,0,0,3560.8
Coastal Saline Zone,North 24 Parganas,North 24 Parganas North,Rice,2002,26.52,1497.9,73.1,2.74,16.89,33.54,6.94,0.814,116.7,58.3,34.7,0.654,7.62,0,0,3660.2
Coastal Saline Zone,North 24 Parganas,North 24 Parganas North,Rice,2003,26.08,1809.1,89.3,3.49,17.44,45.0,6.22,0.533,103.7,58.3,35.3,0.717,20.23,0,0,4040.4
Coastal Saline Zone,North 24 Parganas,North 24 Parganas North,Rice,2004,27.87,1974.1,87.1,2.18,15.89,35.73,7.14,0.54,54.3,60.6,52.6,0.924,27.74,0,0,3477.0
Coastal Saline Zone,North 24 Parganas,North 24 Parganas North,Rice,2005,27.11,1689.1,86.0,3.96,18.5,38.97,7.12,0.508,110.7,41.1,37.3,0.699,25.14,0,0,4193.6
Coastal Saline Zone,North 24 Parganas,North 24 Parganas North,Rice,2006,28.56,1483.4,72.7,2.72,17.22,31.29,6.52,0.979,109.4,10.0,76.1,0.476,16.61,0,0,4382.3
Coastal Saline Zone,North 24 Parganas,North 24 Parganas North,Rice,2007,27.21,1255.8,80.3,1.85,21.57,36.88,6.75,0.781,111.7,67.4,41.8,0.245,18.21,0,0,3440.9
Coastal Saline Zone,North 24 Parganas,North 24 Parganas North,Rice,2008,27.12,1889.7,80.7,1.75,20.05,33.11,6.26,0.938,103.5,51.5,21.8,1.193,20.72,0,0,3692.8
Coastal Saline Zone,North 24 Parganas,North 24 Parganas North,Rice,2009,25.85,1973.3,76.2,2.26,10.8,45.0,6.56,0.712,74.0,30.5,31.6,1.075,17.57,0,0,3796.1
Coastal Saline Zone,North 24 Parganas,North 24 Parganas North,Rice,2010,28.99,1712.1,79.5,2.74,19.12,34.5,5.92,0.882,90.8,63.9,65.6,1.677,18.77,0,0,4809.2
Coastal Saline Zone,North 24 Parganas,North 24 Parganas North,Rice,2011,28.18,1909.9,77.6,3.18,13.1,41.21,7.17,0.45,100.8,34.7,43.0,1.018,19.62,0,0,3729.4
Coastal Saline Zone,North 24 Parganas,North 24 Parganas North,Rice,2012,26.68,2192.4,89.8,1.99,13.33,36.41,5.74,0.657,72.6,38.7,43.8,1.191,19.85,0,0,2992.4
Coastal Saline Zone,North 24 Parganas,North 24 Parganas North,Rice,2013,27.87,2087.8,84.4,2.95,16.22,45.0,6.24,0.555,114.5,40.7,51.1,0.517,25.69,0,0,3756.7
Coastal Saline Zone,North 24 Parganas,North 24 Parganas North,Rice,2014,26.14,1773.2,80.1,2.38,23.86,31.74,6.52,0.352,80.6,50.6,51.2,0.959,23.03,0,0,3489.6
Coastal Saline Zone,North 24 Parganas,North 24 Parganas North,Rice,2015,29.46,1654.9,67.6,1.88,18.08,37.82,6.66,1.087,29.6,40.4,36.2,0.915,21.24,0,0,4127.9
Coastal Saline Zone,North 24 Parganas,North 24 Parganas North,Rice,2016,27.65,1389.8,65.6,3.39,15.54,31.04,5.59,0.638,68.4,41.7,43.2,0.634,14.27,0,0,3748.2
Coastal Saline Zone,North 24 Parganas,North 24 Parganas North,Rice,2017,28.97,1940.1,84.3,1.72,21.06,36.16,5.25,0.322,154.2,33.8,43.0,0.05,22.76,0,0,2849.3
Coastal Saline Zone,North 24 Parganas,North 24 Parganas North,Rice,2018,27.02,1566.9,76.1,1.9,13.27,36.05,6.27,1.178,88.7,30.3,25.0,1.036,18.72,0,0,4828.4
Coastal Saline Zone,North 24 Parganas,North 24 Parganas North,Rice,2019,29.06,2366.1,97.0,2.25,20.05,45.0,6.17,0.468,113.8,50.3,53.8,0.769,20.71,0,0,2837.2
Coastal Saline Zone,North 24 Parganas,North 24 Parganas North,Rice,2020,26.79,1765.0,75.2,3.09,18.8,35.96,7.26,0.678,110.3,47.2,58.8,0.386,26.89,0,0,3829.6
Coastal Saline Zone,North 24 Parganas,North 24 Parganas North,Rice,2021,27.88,1678.1,91.9,2.32,20.35,35.19,6.24,0.543,107.8,48.2,58.2,1.087,22.72,0,0,3975.1
Coastal Saline Zone,North 24 Parganas,North 24 Parganas North,Rice,2022,28.36,2124.6,91.6,2.23,18.62,40.14,6.65,0.367,86.2,50.4,69.3,1.389,16.08,0,0,3280.4
Coastal Saline Zone,North 24 Parganas,North 24 Parganas North,Rice,2023,28.11,1384.8,64.2,3.69,18.63,37.34,6.89,0.633,116.5,10.0,36.4,1.325,23.62,0,0,4637.1
Coastal Saline Zone,North 24 Parganas,North 24 Parganas North,Rice,2024,27.72,1920.8,70.0,2.45,21.27,34.11,5.73,0.259,108.4,24.5,35.0,0.878,27.71,0,0,3291.9
Coastal Saline Zone,North 24 Parganas,North 24 Parganas North,Wheat,2000,26.02,1751.1,84.4,2.95,16.68,33.39,6.2,0.693,153.9,38.7,40.6,0.846,13.16,0,1,928.6
Coastal Saline Zone,North 24 Parganas,North 24 Parganas North,Wheat,2001,27.04,1473.6,86.2,1.46,14.63,31.06,5.95,0.838,107.9,62.1,57.7,1.214,33.33,0,0,1290.2
Coastal Saline Zone,North 24 Parganas,North 24 Parganas North,Wheat,2002,28.77,1879.5,97.0,1.67,16.49,39.84,5.93,0.29,106.5,38.8,43.6,1.262,14.01,0,1,528.9
Coastal Saline Zone,North 24 Parganas,North 24 Parganas North,Wheat,2003,27.6,1481.2,70.6,1.32,16.04,39.87,7.28,0.451,106.2,75.4,35.1,1.296,18.13,0,0,1221.3
Coastal Saline Zone,North 24 Parganas,North 24 Parganas North,Wheat,2004,28.19,1374.1,71.8,3.58,17.69,38.79,6.16,0.394,88.6,34.1,59.1,1.194,28.01,0,0,1418.6
Coastal Saline Zone,North 24 Parganas,North 24 Parganas North,Wheat,2005,26.36,1872.1,81.2,2.07,16.74,27.65,6.83,0.654,83.4,42.0,30.9,1.108,13.98,0,1,804.7
Coastal Saline Zone,North 24 Parganas,North 24 Parganas North,Wheat,2006,25.55,1724.5,75.6,2.65,18.84,40.97,6.13,0.831,153.0,35.9,65.9,1.106,15.46,0,1,1263.1
Coastal Saline Zone,North 24 Parganas,North 24 Parganas North,Wheat,2007,27.58,1889.3,79.3,2.89,15.46,34.8,5.77,0.778,88.3,49.6,57.0,1.062,17.61,0,1,739.0
Coastal Saline Zone,North 24 Parganas,North 24 Parganas North,Wheat,2008,26.79,1623.5,75.8,2.49,18.17,33.28,6.37,0.795,71.1,48.8,48.0,1.086,18.38,0,1,900.4
Coastal Saline Zone,North 24 Parganas,North 24 Parganas North,Wheat,2009,25.9,1987.1,83.2,3.26,17.26,42.53,6.79,0.733,115.8,45.8,55.3,0.731,11.63,0,1,1028.9
Coastal Saline Zone,North 24 Parganas,North 24 Parganas North,Wheat,2010,26.86,1625.6,71.3,1.57,18.88,33.62,6.27,0.642,112.5,68.6,37.1,0.911,16.33,0,1,922.0
Coastal Saline Zone,North 24 Parganas,North 24 Parganas North,Wheat,2011,27.98,1595.3,78.4,2.05,19.05,35.64,6.12,0.439,123.0,63.0,36.9,1.017,28.24,0,0,851.4
Coastal Saline Zone,North 24 Parganas,North 24 Parganas North,Wheat,2012,26.02,1918.3,88.4,2.99,19.67,41.42,6.06,0.767,92.7,48.7,14.4,0.715,6.09,0,1,937.4
Coastal Saline Zone,North 24 Parganas,North 24 Parganas North,Wheat,2013,26.94,1821.4,84.9,2.11,12.08,40.64,6.54,0.511,83.3,58.2,49.4,0.591,17.33,0,1,786.5
Coastal Saline Zone,North 24 Parganas,North 24 Parganas North,Wheat,2014,26.13,1852.9,79.0,2.49,16.05,37.42,6.66,0.632,122.1,39.1,36.7,0.79,17.56,0,1,861.1
Coastal Saline Zone,North 24 Parganas,North 24 Parganas North,Wheat,2015,29.01,1861.0,91.5,1.79,17.76,40.29,5.63,0.811,53.0,51.6,24.1,1.054,27.63,0,1,476.1
Coastal Saline Zone,North 24 Parganas,North 24 Parganas North,Wheat,2016,25.77,1863.3,75.9,2.05,17.31,33.94,6.41,0.452,116.6,26.1,52.2,1.367,23.51,0,1,1031.8
Coastal Saline Zone,North 24 Parganas,North 24 Parganas North,Wheat,2017,26.91,1569.1,77.7,2.07,24.44,33.06,6.42,0.54,139.4,58.7,53.5,0.925,28.9,0,0,1222.0
Coastal Saline Zone,North 24 Parganas,North 24 Parganas North,Wheat,2018,28.07,1910.7,80.5,2.82,22.88,39.47,7.24,0.754,109.2,59.4,67.8,0.861,18.87,0,1,626.2
Coastal Saline Zone,North 24 Parganas,North 24 Parganas North,Wheat,2019,28.4,1740.1,93.8,2.49,16.89,31.55,7.02,0.671,96.1,50.9,23.1,0.506,22.68,0,1,506.4
Coastal Saline Zone,North 24 Parganas,North 24 Parganas North,Wheat,2020,28.12,1947.6,83.0,2.73,10.77,42.02,5.65,0.416,59.0,70.5,36.5,0.664,25.06,0,1,582.5
Coastal Saline Zone,North 24 Parganas,North 24 Parganas North,Wheat,2021,26.57,1934.3,80.8,2.2,15.75,34.76,6.68,0.809,142.8,29.6,40.8,0.621,20.64,0,1,917.1
Coastal Saline Zone,North 24 Parganas,North 24 Parganas North,Wheat,2022,28.27,1573.2,89.1,1.97,15.81,29.95,7.44,0.674,156.6,74.8,64.6,1.312,19.5,0,0,1003.4
Coastal Saline Zone,North 24 Parganas,North 24 Parganas North,Wheat,2023,28.68,1836.4,88.9,2.67,19.43,41.98,6.42,0.732,116.7,44.7,41.7,0.52,14.78,0,1,530.8
Coastal Saline Zone,North 24 Parganas,North 24 Parganas North,Wheat,2024,28.71,1565.5,78.8,2.35,20.28,37.25,6.56,0.768,100.5,66.6,56.6,0.807,28.65,0,0,928.5
Coastal Saline Zone,North 24 Parganas,North 24 Parganas North,Maize,2000,28.91,1666.0,78.5,2.55,17.36,31.69,6.91,0.36,102.2,64.7,49.3,1.058,14.63,0,0,1963.1
Coastal Saline Zone,North 24 Parganas,North 24 Parganas North,Maize,2001,28.9,1971.2,81.9,3.44,17.47,41.83,5.44,0.769,105.2,57.1,35.4,0.944,16.49,0,0,1866.8
Coastal Saline Zone,North 24 Parganas,North 24 Parganas North,Maize,2002,27.05,1490.6,79.4,2.53,19.34,36.29,6.61,0.532,93.1,41.4,46.2,0.441,25.35,0,0,2900.1
Coastal Saline Zone,North 24 Parganas,North 24 Parganas North,Maize,2003,28.45,1928.2,80.7,2.1,19.15,39.38,6.72,0.758,99.7,57.0,30.9,1.061,19.99,0,0,2252.7
Coastal Saline Zone,North 24 Parganas,North 24 Parganas North,Maize,2004,27.6,1552.9,84.1,2.92,19.2,32.08,6.5,0.834,119.5,19.3,62.7,0.67,7.63,0,0,2391.0
Coastal Saline Zone,North 24 Parganas,North 24 Parganas North,Maize,2005,25.75,1931.0,85.9,2.11,15.75,41.39,6.56,0.494,143.9,63.6,28.8,0.962,16.17,0,0,2412.3
Coastal Saline Zone,North 24 Parganas,North 24 Parganas North,Maize,2006,28.4,2261.6,80.6,3.16,17.11,39.37,6.43,0.845,119.5,66.7,32.9,1.35,20.64,0,1,1816.6
Coastal Saline Zone,North 24 Parganas,North 24 Parganas North,Maize,2007,27.63,1673.4,81.7,2.24,22.01,41.18,6.05,0.557,146.9,63.2,71.3,0.327,14.91,0,0,2562.2
Coastal Saline Zone,North 24 Parganas,North 24 Parganas North,Maize,2008,27.44,1581.7,79.4,2.28,22.39,36.65,7.29,0.721,184.7,54.2,49.9,0.555,21.84,0,0,2783.9
Coastal Saline Zone,North 24 Parganas,North 24 Parganas North,Maize,2009,29.92,1631.0,91.6,2.78,19.69,32.49,7.35,0.578,113.1,73.6,22.8,1.352,12.14,0,0,2333.1
Coastal Saline Zone,North 24 Parganas,North 24 Parganas North,Maize,2010,26.68,1650.9,80.4,2.26,19.05,35.19,6.72,0.41,55.7,53.0,65.7,1.044,13.36,0,0,2470.4
Coastal Saline Zone,North 24 Parganas,North 24 Parganas North,Maize,2011,29.0,2019.5,80.7,2.17,16.41,41.73,6.29,0.613,122.1,74.4,32.6,0.727,17.36,0,1,1499.1
Coastal Saline Zone,North 24 Parganas,North 24 Parganas North,Maize,2012,28.31,1603.1,77.4,2.96,15.64,38.04,7.17,0.37,160.1,39.6,46.2,1.069,22.96,0,0,2616.7
Coastal Saline Zone,North 24 Parganas,North 24 Parganas North,Maize,2013,29.3,2169.2,93.6,3.38,20.58,39.29,6.36,0.49,119.8,55.5,42.6,0.963,16.65,0,1,1397.0
Coastal Saline Zone,North 24 Parganas,North 24 Parganas North,Maize,2014,27.24,1358.1,72.2,2.5,24.51,29.26,6.7,0.706,89.5,67.2,20.7,0.676,22.31,0,0,3163.3
Coastal Saline Zone,North 24 Parganas,North 24 Parganas North,Maize,2015,29.69,1900.2,74.9,3.41,22.18,45.0,6.68,0.46,77.5,17.6,36.1,1.113,21.2,0,0,1781.9
Coastal Saline Zone,North 24 Parganas,North 24 Parganas North,Maize,2016,27.77,1903.6,76.4,2.85,18.04,43.38,6.14,0.757,75.6,54.4,73.3,1.043,23.32,0,0,2313.2
Coastal Saline Zone,North 24 Parganas,North 24 Parganas North,Maize,2017,27.9,1831.1,74.0,2.16,19.34,38.73,6.15,0.671,123.2,47.3,43.7,0.599,21.83,0,0,2429.3
Coastal Saline Zone,North 24 Parganas,North 24 Parganas North,Maize,2018,27.65,1678.9,91.3,2.7,13.07,31.26,6.53,0.642,109.7,84.2,41.9,0.804,16.21,0,0,2555.3
Coastal Saline Zone,North 24 Parganas,North 24 Parganas North,Maize,2019,26.35,1914.4,84.0,2.73,21.3,38.99,6.43,0.32,107.8,52.7,62.5,1.159,20.04,0,0,2313.2
Coastal Saline Zone,North 24 Parganas,North 24 Parganas North,Maize,2020,26.79,1568.9,76.0,3.12,16.91,35.55,5.96,0.625,121.7,63.7,56.1,0.954,15.07,0,0,3082.8
Coastal Saline Zone,North 24 Parganas,North 24 Parganas North,Maize,2021,28.91,1654.6,86.6,2.58,15.48,37.38,6.93,0.859,90.9,65.2,46.6,1.006,19.27,0,0,2763.1
Coastal Saline Zone,North 24 Parganas,North 24 Parganas North,Maize,2022,27.17,2062.6,77.9,2.05,14.88,32.23,7.15,0.498,93.5,55.6,61.9,0.68,14.92,0,1,1417.7
Coastal Saline Zone,North 24 Parganas,North 24 Parganas North,Maize,2023,29.91,1520.7,71.4,4.13,17.77,31.39,7.18,1.235,94.5,32.4,54.7,0.996,27.33,0,0,2384.4
Coastal Saline Zone,North 24 Parganas,North 24 Parganas North,Maize,2024,28.0,1980.1,71.1,3.61,12.23,37.62,6.75,0.821,99.1,42.3,53.3,0.681,22.47,0,1,1525.2
Coastal Saline Zone,North 24 Parganas,North 24 Parganas North,Pulses,2000,28.05,1742.8,79.1,2.4,20.24,33.41,6.81,0.444,64.7,32.2,41.5,0.845,18.67,0,1,320.2
Coastal Saline Zone,North 24 Parganas,North 24 Parganas North,Pulses,2001,29.51,1507.4,76.1,2.86,20.62,37.21,5.84,0.762,90.1,62.7,51.6,1.385,23.57,0,1,370.0
Coastal Saline Zone,North 24 Parganas,North 24 Parganas North,Pulses,2002,27.21,1484.4,71.2,1.7,16.52,36.69,6.5,0.626,132.6,67.0,33.8,1.155,27.16,0,1,485.0
Coastal Saline Zone,North 24 Parganas,North 24 Parganas North,Pulses,2003,27.81,1755.4,78.7,2.18,12.46,38.91,7.1,0.623,59.2,32.9,38.7,0.688,20.07,0,1,373.5
Coastal Saline Zone,North 24 Parganas,North 24 Parganas North,Pulses,2004,31.02,1749.5,84.2,2.6,15.85,31.94,6.57,0.981,53.9,65.7,32.9,0.611,17.29,0,1,226.9
Coastal Saline Zone,North 24 Parganas,North 24 Parganas North,Pulses,2005,27.17,1621.7,85.7,3.67,18.15,29.7,7.01,0.758,166.3,62.9,33.7,1.147,8.92,0,1,514.0
Coastal Saline Zone,North 24 Parganas,North 24 Parganas North,Pulses,2006,28.78,1961.5,81.7,3.58,21.31,37.63,6.99,0.516,165.6,49.9,44.2,0.789,24.78,0,1,357.5
Coastal Saline Zone,North 24 Parganas,North 24 Parganas North,Pulses,2007,28.45,1682.5,84.5,2.61,14.9,35.46,6.09,0.808,111.3,71.5,43.9,1.139,10.66,0,1,443.6
Coastal Saline Zone,North 24 Parganas,North 24 Parganas North,Pulses,2008,28.26,1569.0,83.1,2.94,21.88,42.16,6.14,0.924,138.5,44.5,26.6,1.244,21.39,0,1,462.9
Coastal Saline Zone,North 24 Parganas,North 24 Parganas North,Pulses,2009,27.47,1326.8,78.5,2.85,21.25,28.66,6.72,0.812,114.4,64.3,59.4,0.661,20.68,0,0,673.9
Coastal Saline Zone,North 24 Parganas,North 24 Parganas North,Pulses,2010,28.07,2114.4,85.4,2.16,17.8,36.69,5.99,0.742,178.0,59.2,37.7,0.94,23.72,0,1,448.9
Coastal Saline Zone,North 24 Parganas,North 24 Parganas North,Pulses,2011,27.25,1902.9,79.9,2.43,19.07,37.43,6.24,0.838,98.1,62.3,44.6,1.221,14.93,0,1,535.6
Coastal Saline Zone,North 24 Parganas,North 24 Parganas North,Pulses,2012,27.58,2065.1,80.8,2.23,18.6,42.9,6.09,0.806,144.3,38.4,25.0,1.418,19.85,0,1,502.8
Coastal Saline Zone,North 24 Parganas,North 24 Parganas North,Pulses,2013,26.99,1952.0,82.2,3.16,11.05,31.35,6.68,0.652,147.9,54.9,48.5,0.827,14.77,0,1,507.1
